,0,600000.XSHG,600016.XSHG,600019.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600048.XSHG,600050.XSHG,600104.XSHG,600111.XSHG,600276.XSHG,600309.XSHG,600340.XSHG,600519.XSHG,600547.XSHG,600585.XSHG,600606.XSHG,600690.XSHG,600703.XSHG,600887.XSHG,600958.XSHG,600999.XSHG,601006.XSHG,601088.XSHG,601166.XSHG,601169.XSHG,601186.XSHG,601211.XSHG,601229.XSHG,601288.XSHG,601318.XSHG,601328.XSHG,601336.XSHG,601360.XSHG,601390.XSHG,601398.XSHG,601601.XSHG,601628.XSHG,601668.XSHG,601688.XSHG,601766.XSHG,601800.XSHG,601818.XSHG,601857.XSHG,601878.XSHG,601881.XSHG,601988.XSHG,601989.XSHG,603993.XSHG,
2006/2/17,2006/2/17,90000,291311,387119,280000,100000,54000,373556,,650000,131695,14546,7680,28288,4000,13496,6000,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2563300
2006/2/24,2006/2/24,90000,291311,387119,280000,100000,54000,373556,,650000,131695,14546,7680,28288,4000,13496,6000,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2563300
2006/3/3,2006/3/3,90000,291311,387119,280000,100000,54000,470543,,650000,131695,14546,7680,28288,4000,13496,6000,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660287
2006/3/10,2006/3/10,90000,291311,387119,280000,100000,54000,470543,,650000,131695,14546,7680,28288,4000,13496,6000,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660287
2006/3/17,2006/3/17,90000,291311,387119,280000,100000,54000,470543,,650000,131695,14546,7680,28288,4000,13496,6000,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660287
2006/3/24,2006/3/24,90000,291311,387119,280000,100000,54000,470543,,650000,131695,14546,7680,28288,4000,13496,6000,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660287
2006/3/31,2006/3/31,90000,291552,387119,280000,100000,54000,470570,,650000,131695,14546,7680,28288,4000,13496,7500,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2662055
2006/4/7,2006/4/7,90000,291566,387119,280000,100000,54000,470570,,650000,131695,14546,7680,28288,4000,13496,7500,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2662069
2006/4/14,2006/4/14,90000,291566,387119,280000,100000,54000,470570,,650000,131695,19219,7680,28288,4000,13496,7500,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2666742
2006/4/21,2006/4/21,90000,408193,387119,280000,100000,54000,470570,,650000,131695,19219,7680,28288,4000,13496,7500,20000,12494,67485,5859,25771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2783369
2006/4/28,2006/4/28,90000,408193,387119,280000,100000,54000,470570,,650000,131695,19219,7680,32814,4000,13496,7500,20000,12494,67485,5859,37092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2799216
2006/5/12,2006/5/12,117000,408193,387119,280000,100000,54000,470570,,650000,131695,19219,7680,32814,4000,13496,7500,20000,12494,67485,5859,37092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2826216
2006/5/19,2006/5/19,117000,408193,387119,280000,100000,54000,470570,,832000,131695,19219,7680,32814,4000,26993,7500,20000,12494,74233,5859,37092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3028461
2006/5/26,2006/5/26,117000,408193,387119,280000,100000,54000,470570,,832000,131695,19219,7680,32814,4000,26993,7500,20000,12494,74233,5859,37092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3028461
2006/6/2,2006/6/2,117000,408193,387119,280000,100000,54000,470570,,832000,131695,19219,7680,32814,4000,26993,7500,20000,12494,74233,5859,37092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3028461
2006/6/9,2006/6/9,117000,408193,387119,280000,100000,54000,470570,,832000,131695,19219,7680,45940,4000,26993,7500,20000,17117,74233,5859,37092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3046210
2006/6/16,2006/6/16,117000,408193,387119,280000,100000,54000,470570,,832000,131695,19219,7680,45940,5200,26993,7500,20000,17117,74233,5859,37092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3047410
2006/6/23,2006/6/23,117000,408193,387119,280000,100000,54000,470570,,832000,131695,19219,9600,45940,5200,26993,7500,20000,17117,74233,5859,37092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3049330
2006/6/30,2006/6/30,117000,408281,423816,280000,100000,54000,470620,,832000,131695,19219,9600,45940,5200,26993,7500,20000,17117,74233,5859,37092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3086165
2006/7/7,2006/7/7,117000,408281,423816,280000,100000,54000,470620,,832000,131695,19219,9600,45940,5200,26993,7500,20000,17117,74233,5859,37092,,,,,,,,,,,,,,,,,,,,,,,,,,,345455,,,3431620
2006/7/14,2006/7/14,117000,408281,423816,280000,100000,54000,470620,,832000,131695,19219,9600,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,,,,,,,,,,,,,,,,,,,,,,,,,345455,,,3436059
2006/7/21,2006/7/21,117000,408281,423816,280000,100000,54000,470620,,832000,131695,19219,9600,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,,,,,,,,,,,,,,,,,,,,,,,,,345455,,,3436059
2006/7/28,2006/7/28,117000,408281,423816,280000,100000,54000,470620,,832000,131695,19219,9600,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,,,,,,,,,,,,,,,,,,,,,,,,,345455,,,3436059
2006/8/4,2006/8/4,117000,408281,423816,280000,100000,54000,470620,12000,832000,131695,19219,9600,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,121214,,,,,,,,,,,,,,,,,,,,,,,,345455,,,3569273
2006/8/11,2006/8/11,117000,408281,423816,280000,100000,54000,470620,12000,832000,131695,19219,9600,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,121214,,,,,,,,,,,,,,,,,,,,,,,,345455,,,3569273
2006/8/18,2006/8/18,117000,408281,423816,280000,100000,171457,470620,12000,832000,131695,19219,9600,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,121214,,,,,,,,,,,,,,,,,,,,,,,,345455,,,3686730
2006/8/25,2006/8/25,117000,408281,423816,280000,100000,171457,470620,12000,832000,131695,19219,9600,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,121214,,,,,,,,,,,,,,,,,,,,,,,,345455,,,3686730
2006/9/1,2006/9/1,117000,408281,379714,280000,100000,171457,470620,12000,832000,131695,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,121214,,,,,,,,,,,,,,,,,,,,,,,,345455,,,3645508
2006/9/8,2006/9/8,117000,408281,379714,280000,100000,171457,470620,12000,832000,131695,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,121214,,,,,,,,,,,,,,,,,,,,,,,,345455,,,3645508
2006/9/15,2006/9/15,117000,408281,379714,280000,100000,171457,470620,12000,832000,131695,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,121214,,,,,,,,,,,,,,,,,,,,,,,,345455,,,3645508
2006/9/22,2006/9/22,117000,408281,379714,280000,100000,171457,470822,12000,832000,131695,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,121214,,,,,,,,,,,,,,,,,,,,,,,,345455,,,3645710
2006/9/29,2006/9/29,117000,408297,379714,280000,100000,171457,470893,12000,832000,131695,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,121214,,,,,,,,,,,,,,,,,,,,,,,,345455,,,3645797
2006/10/13,2006/10/13,117000,408297,379714,358400,100000,171457,470893,12000,832000,131695,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,121214,,,,,,,,,,,,,,,,,,,,,,,,433117,,,3811859
2006/10/20,2006/10/20,117000,408297,379714,358400,100000,171457,470893,12000,832000,131695,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,121214,,,,,,,,,,,,,,,,,,,,,,,,433117,,,3811859
2006/10/27,2006/10/27,117000,611333,379714,358400,100000,171457,470893,12000,832000,131695,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,121214,,,,,,,,,,,,,683078,,,,,,,,,,,433117,,,4697973
2006/11/3,2006/11/3,117000,611333,379714,358400,100000,171457,470893,15000,832000,131695,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,166668,,,,,,,,,,,,,683078,,,,,,,,,,,433117,,,4746427
2006/11/10,2006/11/10,117000,611333,379714,358400,100000,171457,470893,15000,832000,131695,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,166668,,,,,,,,,,,,,683078,,,,,,,,,,,433117,,,4746427
2006/11/17,2006/11/17,133226,611333,379714,358400,100000,171457,470893,15000,832000,131695,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,166668,,,,,,,,,,,,,683078,,,,,,,,,,,433117,,,4762653
2006/11/24,2006/11/24,133226,611333,379714,358400,100000,171457,470893,15000,832000,131695,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,166668,,,,,,,,,,,,,683078,,,,,,,,,,,433117,,,4762653
2006/12/1,2006/12/1,133226,611333,379714,358400,100000,171457,470893,15000,832000,131695,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,166668,,,,,,,,,,,,,683078,,,,,,,,,,,433117,,,4762653
2006/12/8,2006/12/8,133226,611333,379714,358400,100000,171457,470893,15000,832000,148075,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,166668,,,,,,,,,,,,,683078,,,,,,,,,,,433117,,,4779033
2006/12/15,2006/12/15,133226,611333,379714,358400,100000,171457,470893,15000,832000,148075,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,166668,,,,,,,,,,,,,683078,,,,,,,,,,,433117,,,4779033
2006/12/22,2006/12/22,133226,611333,379714,358400,100000,171457,470893,15000,832000,148075,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,166668,,,,,,,,,,,,,683078,,,,,,,,,,,433117,,,4779033
2006/12/29,2006/12/29,133226,611353,379714,358400,100000,171457,470963,15000,832000,148075,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,166668,,,,,,,,,,,,,683078,,,,,,,,,,,433117,,,4779123
